Author: Scumpu Ioan Robert 916
n: 3
Number of basis: 30
[0, 0, 1], [0, 1, 0], [1, 0, 0]
[0, 0, 1], [0, 1, 0], [1, 0, 1]
[0, 0, 1], [0, 1, 0], [1, 1, 0]
[0, 0, 1], [0, 1, 0], [1, 1, 1]
[0, 0, 1], [0, 1, 1], [1, 0, 0]
[0, 0, 1], [0, 1, 1], [1, 0, 1]
[0, 0, 1], [0, 1, 1], [1, 1, 0]
[0, 0, 1], [1, 0, 0], [1, 0, 1]
[0, 0, 1], [1, 0, 0], [1, 1, 0]
[0, 0, 1], [1, 0, 0], [1, 1, 1]
[0, 0, 1], [1, 0, 1], [1, 1, 0]
[0, 0, 1], [1, 0, 1], [1, 1, 1]
[0, 0, 1], [1, 1, 0], [1, 1, 1]
[0, 1, 0], [0, 1, 1], [1, 0, 0]
[0, 1, 0], [0, 1, 1], [1, 0, 1]
[0, 1, 0], [0, 1, 1], [1, 1, 0]
[0, 1, 0], [0, 1, 1], [1, 1, 1]
[0, 1, 1], [1, 0, 0], [1, 0, 1]
[0, 1, 1], [1, 0, 0], [1, 1, 0]
[0, 1, 1], [1, 0, 0], [1, 1, 1]
[0, 1, 1], [1, 0, 1], [1, 1, 0]
[0, 1, 1], [1, 0, 1], [1, 1, 1]
[0, 1, 1], [1, 1, 0], [1, 1, 1]
[1, 0, 0], [1, 0, 1], [1, 1, 0]
[1, 0, 0], [1, 0, 1], [1, 1, 1]
[1, 0, 0], [1, 1, 0], [1, 1, 1]
[1, 0, 1], [1, 1, 0], [1, 1, 1]
